2.638958900479584102e+01,8.824760077341284314e-02,6.196705057320288290e+01,7.205690112394229629e+01,1.321789961667440316e+01,2.536511289941833525e+02,7.974125468843809017e-01,1.019577947105204885e+00,7.117127366425866075e-01,7.823234769451730131e-01
1.439100311648313024e+01,2.624016424135163783e-01,5.378371635040510057e+01,4.211108696800064877e+01,1.323849645646931750e+00,2.970400595246657076e+02,3.066584787326517292e-01,3.029905789257197668e+00,4.985069102240172745e-01,8.473251542937915159e-01
1.006682956541090590e+01,6.760442668487501305e-02,8.313486405358078457e+01,3.222603515802471463e+01,1.407822272434250976e+01,2.337327847069932147e+02,6.555487212805847230e-01,3.997392698521127663e+00,2.924092124174584306e-01,5.839592167862929228e-01
6.238635901065191725e+00,2.385225876362701558e-01,4.699577870447075867e+01,8.060514860311252505e+01,8.763226192240258783e+00,1.275825172130339240e+02,5.105874491331446885e-01,2.138003709611532521e+00,2.400284417185900854e-01,2.438033253756179963e-01
1.717401935561558446e+01,1.047897316529605438e-01,2.994489384695551237e+01,5.613728799337849296e+01,1.063888858635904988e+01,1.678577951372839436e+02,2.209081424286306050e-01,1.849412716372073273e+00,6.163898561173162260e-01,6.753351009696229035e-01
2.897325677635780039e+01,1.478935915408728097e-01,7.497669029725474843e+01,3.638433644702833369e+00,9.158683026300009189e+00,1.125490600335637339e+02,5.759938828052612037e-01,2.508314676588210723e+00,8.637801126091848580e-01,1.063135139232932042e-01
2.366939692457568611e+01,2.239071263433660697e-01,1.200466779960948571e+01,6.157470822294812507e+01,5.173997274498558063e+00,2.121388379153951291e+02,9.156910311742550990e-01,2.221113634660336622e+00,7.779247581673209844e-01,5.053458076995783754e-01
1.043174057126235965e+01,1.710833301763638459e-01,3.372526454506965532e+00,2.930235435168414426e+01,7.501089168732004708e+00,2.654290302054551489e+02,8.959191637431223043e-01,3.335733343711387189e+00,5.711217355515619820e-01,2.886326952334640206e-01
2.104829251854592798e+00,1.799501968236256744e-01,3.203066383386830296e+01,9.510315586088876216e+01,3.230967605683524368e+00,1.534089070478005397e+02,4.378532878908387715e-01,1.426733470796404557e+00,3.674772549707109315e-01,9.471350616058792360e-01
1.898805218617876278e+01,2.758573063082827570e-01,9.829116834942780656e+01,1.388377872133442281e+01,2.777068172713902161e+00,1.930360226147495837e+02,1.056533051498508152e-01,3.499995739598038558e+00,1.576744000634330012e-01,4.169649831556789810e-01
